,recency_days,frequency,total_amount
0,1811.0,1.0,141.9
1,1814.0,1.0,27.19
2,2236.0,1.0,86.22
3,2020.0,1.0,43.62
4,1987.0,1.0,196.89
5,1845.0,1.0,166.98
6,1831.0,1.0,35.38
7,1882.0,1.0,838.36
8,2242.0,1.0,150.12
9,1870.0,1.0,129.76
10,2107.0,1.0,29.0
11,1983.0,1.0,126.26
12,1858.0,1.0,63.66
13,1828.0,1.0,82.05
14,2083.0,1.0,91.28
15,2034.0,1.0,93.7
16,1959.0,1.0,29.0
17,1933.0,1.0,36.68
18,2076.0,1.0,514.88
19,1765.0,1.0,78.42
20,1708.0,1.0,27.75
21,1800.0,1.0,20.75
22,1734.0,1.0,1449.52
23,2114.0,1.0,325.93
24,1876.0,1.0,61.8
25,2062.0,1.0,424.32
26,2284.0,1.0,76.11
27,2192.0,1.0,297.14
28,2127.0,1.0,192.83
29,2089.0,1.0,117.94
30,2015.0,1.0,155.65
31,1922.0,1.0,99.82
32,1726.0,1.0,149.64
33,1732.0,1.0,122.07
34,2197.0,1.0,58.86
35,2077.0,1.0,182.42
36,1704.0,1.0,329.62
37,1732.0,1.0,37.58
38,1887.0,1.0,27.0
39,1899.0,1.0,87.71
40,1820.0,1.0,197.27
41,2125.0,1.0,36.73
42,1748.0,1.0,161.71
43,1800.0,1.0,24.23
44,1964.0,1.0,135.08
45,1767.0,1.0,63.33
46,2227.0,1.0,35.84
47,2220.0,1.0,237.81
48,1763.0,1.0,124.32
49,1853.0,1.0,107.44
50,1720.0,1.0,92.18
51,1788.0,1.0,57.73
52,1736.0,1.0,428.16
53,1857.0,1.0,46.78
54,1958.0,1.0,354.87
55,1934.0,1.0,118.2
56,2006.0,1.0,515.74
57,1883.0,1.0,217.74
58,2024.0,1.0,437.32
59,2274.0,1.0,64.42
60,1966.0,1.0,38.09
61,2001.0,1.0,228.67
62,1925.0,1.0,28.76
63,2163.0,1.0,130.56
64,1839.0,1.0,52.38
65,2103.0,1.0,137.99
66,1911.0,1.0,109.79
67,1895.0,1.0,114.04
68,2004.0,1.0,77.57
69,2065.0,1.0,62.47
70,1745.0,1.0,536.6
71,2133.0,1.0,109.78
72,2392.0,1.0,144.94
73,1744.0,1.0,62.45
74,1764.0,1.0,425.04
75,1751.0,1.0,226.23
76,1813.0,1.0,44.23
77,1809.0,1.0,1092.24
78,1924.0,1.0,21.77
79,2174.0,1.0,42.62
80,2084.0,1.0,162.77
81,1910.0,1.0,109.5
82,1912.0,1.0,237.0
83,1977.0,1.0,65.78
84,1914.0,1.0,443.73
85,2220.0,1.0,143.73
86,2112.0,1.0,228.79
87,1849.0,1.0,107.81
88,1723.0,1.0,119.32
89,1735.0,1.0,181.82
90,1715.0,1.0,157.46
91,1865.0,1.0,36.98
92,1714.0,1.0,216.32
93,1722.0,1.0,147.38
94,1936.0,1.0,142.51
95,1971.0,1.0,178.59
96,1819.0,1.0,542.66
97,2234.0,1.0,137.26
98,1834.0,1.0,127.48
99,1730.0,1.0,77.59
100,1813.0,1.0,103.47
101,2013.0,1.0,867.96
102,1859.0,1.0,259.15
103,1927.0,2.0,354.37
104,1970.0,1.0,85.04
105,1734.0,1.0,62.91
106,2196.0,1.0,64.42
107,2145.0,1.0,52.38
108,2240.0,1.0,128.95
109,1783.0,1.0,83.32
110,1770.0,1.0,24.13
111,2092.0,1.0,112.33
112,2066.0,1.0,76.18
113,1713.0,1.0,82.65
114,1721.0,1.0,41.04
115,1943.0,1.0,32.77
116,2141.0,1.0,26.01
117,2240.0,1.0,218.08
118,1741.0,1.0,44.18
119,1794.0,1.0,49.85
120,1724.0,1.0,158.74
121,1897.0,1.0,39.78
122,1744.0,1.0,993.55
123,2087.0,1.0,109.29
124,1825.0,1.0,378.16
125,1717.0,1.0,397.4
126,1819.0,1.0,68.22
127,2215.0,1.0,127.98
128,1849.0,1.0,1600.51
129,1822.0,1.0,58.25
130,1978.0,1.0,73.96
131,2243.0,1.0,364.75
132,1896.0,1.0,83.23
133,1720.0,1.0,171.88
134,1851.0,1.0,109.23
135,1739.0,1.0,516.76
136,1997.0,1.0,32.38
137,1708.0,1.0,82.86
138,1803.0,1.0,78.88
139,1859.0,1.0,96.02
140,2142.0,1.0,46.69
141,1810.0,1.0,89.25
142,2059.0,1.0,49.6
143,2032.0,1.0,187.96
144,1798.0,1.0,777.68
145,2000.0,1.0,63.9
146,1733.0,1.0,272.04
147,2050.0,1.0,236.81
148,2060.0,1.0,204.83
149,1856.0,1.0,31.13
150,1840.0,1.0,154.53
151,1885.0,1.0,149.87
152,1929.0,1.0,142.76
153,1880.0,1.0,1076.8
154,1769.0,1.0,65.33
155,1883.0,1.0,23.72
156,2024.0,1.0,119.32
157,1752.0,1.0,31.22
158,2059.0,1.0,94.35
159,1771.0,1.0,190.28
160,1764.0,1.0,79.51
161,1976.0,1.0,66.64
162,1970.0,1.0,601.2
163,1841.0,1.0,108.46
164,1894.0,1.0,34.0
165,1775.0,1.0,77.22
166,2089.0,1.0,99.32
167,1961.0,1.0,199.79
168,2017.0,1.0,61.77
169,1899.0,1.0,46.1
170,2093.0,1.0,123.39
171,1718.0,1.0,47.93
172,1802.0,1.0,118.54
173,1926.0,1.0,211.01
174,1858.0,1.0,78.2
175,1811.0,1.0,624.9
176,1902.0,1.0,233.93
177,1756.0,1.0,119.45
178,2083.0,1.0,215.01
179,2096.0,1.0,70.53
180,2041.0,1.0,321.57
181,1771.0,1.0,159.65
182,1870.0,1.0,874.42
183,1814.0,1.0,66.72
184,1950.0,1.0,44.09
185,2200.0,1.0,112.08
186,1842.0,1.0,67.36
187,1975.0,1.0,41.69
188,1972.0,1.0,64.0
189,1906.0,1.0,126.48
190,2037.0,1.0,90.85
191,1806.0,1.0,40.94
192,1783.0,1.0,147.78
193,1940.0,1.0,67.57
194,1871.0,1.0,70.75
195,1935.0,1.0,42.35
196,2210.0,1.0,64.55
197,1911.0,1.0,1513.41
198,1860.0,1.0,349.53
199,2105.0,1.0,260.55
200,1767.0,1.0,183.05
201,2258.0,1.0,151.11
202,1707.0,1.0,181.0
203,1871.0,1.0,45.13
204,1713.0,1.0,136.64
205,2071.0,1.0,132.05
206,1837.0,1.0,64.04
207,2280.0,1.0,336.56
208,2154.0,1.0,40.77
209,1973.0,1.0,166.59
210,2050.0,1.0,30.27
211,2092.0,1.0,25.85
212,1905.0,1.0,108.83
213,2132.0,1.0,93.78
214,1980.0,1.0,149.69
215,2142.0,1.0,226.22
216,1974.0,1.0,43.58
217,2218.0,1.0,185.83
218,1756.0,1.0,89.1
219,2134.0,1.0,110.72
220,2232.0,1.0,3080.96
221,2097.0,1.0,186.92
222,1897.0,1.0,147.97
223,2047.0,1.0,35.4
224,1975.0,1.0,101.73
225,1832.0,1.0,1593.41
226,1940.0,1.0,66.91
227,1782.0,1.0,79.38
228,1828.0,1.0,98.16
229,2198.0,1.0,147.55
230,1847.0,1.0,21.04
231,1826.0,1.0,136.8
232,2136.0,1.0,49.69
233,1823.0,1.0,144.31
234,1715.0,1.0,199.26
235,1770.0,1.0,42.47
236,1945.0,1.0,101.34
237,1730.0,1.0,114.58
238,1973.0,1.0,36.48
239,2246.0,1.0,66.99
240,1709.0,1.0,116.84
241,1787.0,2.0,123.25
242,1899.0,1.0,105.08
243,2118.0,1.0,60.05
244,1942.0,1.0,182.29
245,2204.0,1.0,64.42
246,1862.0,1.0,259.4
247,1894.0,1.0,132.48
248,1848.0,1.0,33.37
249,1970.0,1.0,144.66
250,1975.0,1.0,40.6
251,2188.0,1.0,231.45
252,1767.0,1.0,78.51
253,2219.0,1.0,100.54
254,1994.0,1.0,4296.8
255,1810.0,1.0,1380.5500000000002
256,2050.0,1.0,140.0
257,1932.0,1.0,297.52
258,2096.0,1.0,138.41
259,1964.0,1.0,418.17
260,1810.0,1.0,129.16
261,1922.0,1.0,226.14
262,1979.0,1.0,146.9
263,1886.0,1.0,177.59
264,1788.0,1.0,35.05
265,1726.0,1.0,103.27
266,1848.0,1.0,283.54
267,2022.0,1.0,107.78
268,1975.0,1.0,106.16
269,2139.0,1.0,128.59
270,1769.0,1.0,181.05
271,1861.0,1.0,223.88
272,1728.0,1.0,94.36
273,2113.0,1.0,282.28
274,1927.0,1.0,45.07
275,2003.0,1.0,77.57
276,1870.0,1.0,63.61
277,1904.0,1.0,16.78
278,1981.0,1.0,55.6
279,1823.0,1.0,169.37
280,1803.0,1.0,121.68
281,1977.0,1.0,68.66
282,1944.0,1.0,253.32
283,2230.0,1.0,204.24
284,1880.0,1.0,88.94
285,1775.0,1.0,388.74
286,1733.0,1.0,2304.68
287,1972.0,1.0,111.32
288,1984.0,1.0,130.15
289,1824.0,1.0,57.93
290,1877.0,1.0,36.69
291,2001.0,1.0,73.62
292,2229.0,1.0,828.12
293,1971.0,1.0,72.05
294,1976.0,1.0,67.79
295,2013.0,1.0,83.01
296,1738.0,1.0,170.68
297,1827.0,1.0,138.74
298,1732.0,1.0,85.27
299,1962.0,1.0,85.14
300,1785.0,1.0,437.84
301,1729.0,1.0,41.64
302,2225.0,2.0,252.4
303,1958.0,1.0,71.13
304,2198.0,1.0,187.94
305,2223.0,1.0,95.22
306,1813.0,1.0,68.32
307,2128.0,1.0,95.21
308,1822.0,1.0,182.0
309,1834.0,1.0,284.23
310,1832.0,1.0,37.13
311,2138.0,1.0,35.09
312,1846.0,1.0,284.0
313,1727.0,1.0,280.65
314,2140.0,1.0,115.4
315,1760.0,1.0,67.43
316,1746.0,1.0,124.83
317,1709.0,1.0,23.28
318,2124.0,1.0,92.05
319,1962.0,1.0,246.38
320,1924.0,1.0,27.87
321,1904.0,1.0,51.14
322,1811.0,1.0,71.85
323,1909.0,1.0,372.69
324,1889.0,1.0,127.14
325,1804.0,1.0,740.9699999999999
326,1829.0,1.0,351.33
327,2099.0,1.0,212.43
328,1971.0,1.0,292.36
329,2175.0,1.0,109.31
330,1755.0,1.0,168.08
331,2072.0,1.0,137.99
332,1977.0,1.0,28.69
333,1959.0,1.0,65.0
334,1740.0,1.0,73.01
335,1744.0,1.0,123.49
336,1926.0,1.0,147.15
337,1844.0,1.0,185.9
338,2059.0,1.0,215.05
339,1836.0,1.0,128.45
340,1984.0,1.0,95.83
341,1941.0,1.0,44.09
342,2036.0,1.0,68.89
343,1868.0,1.0,81.24
344,1973.0,1.0,45.2
345,1907.0,1.0,159.31
346,2199.0,1.0,34.86
347,1923.0,1.0,584.44
348,1861.0,1.0,127.71
349,1889.0,1.0,40.55
350,1727.0,1.0,46.94
